week,player,mentions,sent_mean,sent_pos_share
14,Dylan Harper,118,0.3055805084745763,0.5677966101694916
14,Jayson Tatum,75,0.18342133333333335,0.4
14,LeBron James,40,0.2471375,0.475
14,Luka Doncic,102,0.157928431372549,0.4019607843137255
14,Mike Trout,60,0.10998833333333333,0.43333333333333335
14,Paige Bueckers,46,0.15158260869565218,0.3695652173913043
14,Paul Skenes,79,0.2507721518987342,0.4810126582278481
14,Roman Anthony,70,0.16520714285714286,0.4
14,Ronald Acuna,49,0.12528775510204082,0.32653061224489793
14,Shohei Ohtani,125,0.2346176,0.448
14,Stephen Curry,52,0.19138461538461538,0.4807692307692308
14,Victor Wembanyama,112,0.22792589285714285,0.4732142857142857
15,Bobby Witt,53,0.24813018867924527,0.4528301886792453
15,Caitlin Clark,58,0.18307758620689657,0.41379310344827586
15,Cooper Flagg,118,0.23870254237288138,0.4661016949152542
15,Dylan Harper,113,0.24758761061946902,0.5752212389380531
15,Jayson Tatum,65,0.16368307692307693,0.36923076923076925
15,LeBron James,53,0.21727924528301887,0.37735849056603776
15,Luka Doncic,105,0.15319714285714284,0.3904761904761905
15,Mike Trout,81,0.20479753086419752,0.41975308641975306
15,Paige Bueckers,57,0.19479824561403508,0.42105263157894735
15,Paul Skenes,60,0.23415833333333333,0.5
15,Roman Anthony,64,0.11558750000000001,0.3125
15,Ronald Acuna,69,0.14996956521739133,0.4057971014492754
15,Shohei Ohtani,115,0.2170382608695652,0.40869565217391307
15,Stephen Curry,47,0.21173191489361706,0.425531914893617
15,Victor Wembanyama,101,0.2849861386138614,0.5247524752475248
16,Bobby Witt,59,0.17342881355932205,0.4067796610169492
16,Caitlin Clark,85,0.22390588235294118,0.49411764705882355
16,Cooper Flagg,152,0.20235855263157895,0.4407894736842105
16,Dylan Harper,161,0.1721409937888199,0.37267080745341613
16,Jayson Tatum,75,0.178416,0.4666666666666667
16,LeBron James,60,0.27251666666666663,0.5333333333333333
16,Luka Doncic,127,0.19089921259842518,0.4251968503937008
16,Mike Trout,90,0.1496722222222222,0.4111111111111111
16,Paige Bueckers,46,0.21111956521739128,0.4782608695652174
16,Paul Skenes,76,0.2098184210526316,0.40789473684210525
16,Roman Anthony,87,0.23832758620689656,0.47126436781609193
16,Ronald Acuna,63,0.22290634920634922,0.4444444444444444
16,Shohei Ohtani,154,0.21170194805194806,0.4155844155844156
16,Stephen Curry,53,0.2803490566037736,0.5471698113207547
16,Victor Wembanyama,112,0.15953839285714286,0.42857142857142855
17,Bobby Witt,58,0.21620517241379308,0.5344827586206896
17,Caitlin Clark,82,0.13625609756097562,0.3902439024390244
17,Cooper Flagg,168,0.19705119047619046,0.44642857142857145
17,Dylan Harper,160,0.1304425,0.3375
17,Jayson Tatum,94,0.21821808510638296,0.40425531914893614
17,LeBron James,58,0.20858620689655175,0.43103448275862066
17,Luka Doncic,121,0.2038603305785124,0.39669421487603307
17,Mike Trout,81,0.20398395061728394,0.4567901234567901
17,Paige Bueckers,73,0.2290260273972603,0.4657534246575342
17,Paul Skenes,91,0.16634285714285715,0.45054945054945056
17,Roman Anthony,93,0.21426451612903227,0.45161290322580644
17,Ronald Acuna,78,0.19683333333333333,0.44871794871794873
17,Shohei Ohtani,141,0.16568510638297873,0.41134751773049644
17,Stephen Curry,67,0.2352089552238806,0.5074626865671642
17,Victor Wembanyama,138,0.17833840579710145,0.38405797101449274
18,Bobby Witt,51,0.13059019607843136,0.3137254901960784
18,Caitlin Clark,71,0.28517887323943664,0.5070422535211268
18,Cooper Flagg,134,0.18764179104477613,0.40298507462686567
18,Dylan Harper,148,0.1641560810810811,0.40540540540540543
18,Jayson Tatum,81,0.2237037037037037,0.4567901234567901
18,LeBron James,64,0.26093125,0.453125
18,Luka Doncic,125,0.1949992,0.432
18,Mike Trout,79,0.21215822784810126,0.4810126582278481
18,Paige Bueckers,68,0.22201029411764706,0.4411764705882353
18,Paul Skenes,94,0.1970031914893617,0.3829787234042553
18,Roman Anthony,91,0.16395274725274725,0.4065934065934066
18,Ronald Acuna,78,0.2464230769230769,0.5128205128205128
18,Shohei Ohtani,135,0.1814740740740741,0.3925925925925926
18,Stephen Curry,58,0.20939310344827586,0.39655172413793105
18,Victor Wembanyama,131,0.2294206106870229,0.4580152671755725
19,Bobby Witt,65,0.26534615384615384,0.5384615384615384
19,Caitlin Clark,97,0.14339484536082475,0.41237113402061853
19,Cooper Flagg,159,0.13129622641509434,0.37735849056603776
19,Dylan Harper,170,0.20547705882352943,0.40588235294117647
19,Jayson Tatum,81,0.24530123456790126,0.4691358024691358
19,LeBron James,74,0.227077027027027,0.4594594594594595
19,Luka Doncic,146,0.17807123287671234,0.4383561643835616
19,Mike Trout,112,0.18692857142857142,0.4375
19,Paige Bueckers,55,0.21354545454545457,0.4
19,Paul Skenes,93,0.17648817204301073,0.3978494623655914
19,Roman Anthony,98,0.2490091836734694,0.4897959183673469
19,Ronald Acuna,81,0.19053950617283952,0.43209876543209874
19,Shohei Ohtani,153,0.1711235294117647,0.40522875816993464
19,Stephen Curry,73,0.23768767123287673,0.4657534246575342
19,Victor Wembanyama,127,0.1627267716535433,0.4015748031496063
20,Bobby Witt,64,0.200546875,0.375
20,Caitlin Clark,73,0.21244657534246578,0.4520547945205479
20,Cooper Flagg,125,0.207452,0.48
20,Dylan Harper,130,0.19706846153846153,0.45384615384615384
